,telegram_id,username,is_banned,excluded_from_airdrop
1,757513,Nobody_G,1,0
3,3781848,,1,0
5,5425257,jluisma,1,0
6,6890622,fallatah11,1,0
9,13872353,A7maDRaGaB12,1,0
11,14711148,,1,0
14,26402902,gogy_jan,1,0
15,28472432,dgboptm,1,0
18,35200056,HamsterBacken,1,0
19,35566739,Davidmosk,1,0
21,36776674,,1,0
22,38788534,Carcarle,1,0
27,45605782,pol_sergey,1,0
29,50408959,Neystak,1,0
32,53661257,,1,0
33,54572400,GreatGoodwin,1,0
35,56109870,valerevnaaa,1,0
39,66146483,shcgood,1,0
40,66213196,sadopwnz,1,0
41,66561482,CguBa,1,0
43,67875817,Gegak124,1,0
44,71829805,,1,0
47,74225521,ArtRains,1,0
48,74955797,IlNico,1,0
51,78928998,anger89,1,0
52,79016745,,1,0
53,79033555,,1,0
56,82769122,vikudman,1,0
58,86293145,dimson1990,1,0
60,87684339,,1,0
61,91199930,,1,0
64,91476636,Chirilino,1,0
67,91922159,Sam8877,1,0
69,92775080,,1,0
70,93102712,jbmainson,1,0
72,95021812,andreldsg,1,0
73,95021812,andreldsg,1,0
74,95021812,andreldsg,1,0
75,95202495,munhaji,1,0
79,97867743,,1,0
81,100033885,,1,0
83,102483423,,1,0
85,105847113,Alrague,1,0
86,115373673,CoOstOFF,1,0
87,115824568,,1,0
89,116039137,DenisLogvenkov,1,0
92,116852654,ckok77730,1,0
93,117290117,starrlin,1,0
94,117937711,,1,0
97,120280908,StasPoleshuk,1,0
98,121142275,entilore,1,0
100,123232512,hju0125,1,0
101,124201571,nektoinkognito,1,0
102,124705570,,1,0
103,126149295,TheHocok,1,0
106,130201836,Juriy88888,1,0
108,130766344,Vanhiep90,1,0
110,130798658,carriover,1,0
111,130847147,alexeylukyanin,1,0
112,131598218,Alvaromagnus,1,0
113,133234045,maltabba,1,0
114,133867653,ikjung,1,0
115,137346587,vadim_pushkarev,1,0
119,138156381,,1,0
120,138903107,,1,0
122,139726957,,1,0
123,140192795,,1,0
124,140791325,,1,0
126,141868753,LEVAszr,1,0
127,143526614,mar1fin,1,0
129,145852469,rogerioturgante,1,0
130,146024250,RD123123,1,0
131,148764052,WorldsBTC,1,0
132,149900962,dmitry_lavrenov,1,0
134,151862656,,1,0
135,152733861,giorgiopalomba,1,0
136,154135557,,1,0
138,154618254,,1,0
139,154675455,andrybachtiar,1,0
141,155123373,hussin1406,1,0
142,157742064,Kharkiv_bay,1,0
145,160488860,,1,0
147,164256994,,1,0
148,166147701,,1,0
149,167072444,edermuch,1,0
152,171649586,silavoli,1,0
153,172283926,Sedar_46,1,0
154,172985714,jeremiah1230,1,0
155,173309364,,1,0
156,173495384,,1,0
157,174257863,charlieddd,1,0
159,175143975,,1,0
160,175392715,sergeyShcherbinin,1,0
164,177626925,Greg1050,1,0
165,178068934,AlexOgi,1,0
166,179705031,kamilyanov,1,0
167,180495426,Cao_Van,1,0
170,181162029,bint_alsadah,1,0
173,182176756,Serenus,1,0
175,182834927,yusufqiukey,1,0
177,184197637,,1,0
178,184541835,,1,0
179,184659740,Dnkz927,1,0
180,184741596,,1,0
181,185346028,Samanthaajennings,1,0
183,185827010,,1,0
186,186242496,vietak12,1,0
187,186507176,,1,0
188,187642775,kkt1412,1,0
189,187798803,alexloktev,1,0
190,187816343,theheralds,1,0
192,188915253,jojohamasa,1,0
193,189064076,Jackydang,1,0
195,190272633,,1,0
196,190485547,speedsix1,1,0
200,192418595,LidiaKostadinova,1,0
202,192829724,Romicoin,1,0
207,194464448,lyoen,1,0
211,196467533,lancaster1,1,0
213,197455467,Stark89,1,0
217,200487755,Salehaljarboue,1,0
218,202473580,Lucilife,1,0
220,203505987,eclecticism,1,0
221,203616417,,1,0
224,204918334,,1,0
225,205528752,Razyel88,1,0
226,205663156,iamzeus98,1,0
227,206096834,YeTTu,1,0
228,206209255,,1,0
231,207011942,,1,0
232,207635031,,1,0
235,208287735,,1,0
237,208751512,,1,0
239,212557790,tumbbb,1,0
240,212617200,qtrktreios,1,0
241,212786445,iurrrok,1,0
242,212795208,IKonovalov,1,0
244,213607749,,1,0
245,214117723,,1,0
246,214375777,Miftahus,1,0
247,214731483,,1,0
248,215499089,NikolaySharikh,1,0
249,215585690,fernandobolt,1,0
250,216144200,intro0904,1,0
251,216708750,,1,0
252,216809152,,1,0
253,218228327,Nikitchuk_Svetlana,1,0
254,219877668,Palmira,1,0
255,220164609,domingos33,1,0
256,220229873,mister_gabit,1,0
259,221119130,,1,0
260,221450294,shanmao,1,0
261,221647816,,1,0
262,221650940,amigoboss,1,0
263,222035269,,1,0
264,222344679,,1,0
